CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Cluster
1,0,19,15,39,0
2,0,21,15,81,4
3,1,20,16,6,0
4,1,23,16,77,4
5,1,31,17,40,0
6,1,22,17,76,4
7,1,35,18,6,0
8,1,23,18,94,4
9,0,64,19,3,0
10,1,30,19,72,4
11,0,67,19,14,0
12,1,35,19,99,4
13,1,58,20,15,0
14,1,24,20,77,4
15,0,37,20,13,0
16,0,22,20,79,4
17,1,35,21,35,0
18,0,20,21,66,4
19,0,52,23,29,0
20,1,35,23,98,4
21,0,35,24,35,0
22,0,25,24,73,4
23,1,46,25,5,0
24,0,31,25,73,4
25,1,54,28,14,0
26,0,29,28,82,4
27,1,45,28,32,0
28,0,35,28,61,4
29,1,40,29,31,0
30,1,23,29,87,4
31,0,60,30,4,0
32,1,21,30,73,4
33,0,53,33,4,0
34,0,18,33,92,4
35,1,49,33,14,0
36,1,21,33,81,4
37,1,42,34,17,0
38,1,30,34,73,4
39,1,36,37,26,0
40,1,20,37,75,4
41,1,65,38,35,0
42,0,24,38,92,4
43,0,48,39,36,0
44,1,31,39,61,4
45,1,49,39,28,0
46,1,24,39,65,4
47,1,50,40,55,1
48,1,27,40,47,1
49,1,29,40,42,1
50,1,31,40,42,1
51,1,49,42,52,1
52,0,33,42,60,1
53,1,31,43,54,1
54,0,59,43,60,1
55,1,50,43,45,1
56,0,47,43,41,1
57,1,51,44,50,1
58,0,69,44,46,1
59,1,27,46,51,1
60,0,53,46,46,1
61,0,70,46,56,1
62,0,19,46,55,1
63,1,67,47,52,1
64,1,54,47,59,1
65,0,63,48,51,1
66,0,18,48,59,1
67,1,43,48,50,1
68,1,68,48,48,1
69,0,19,48,59,1
70,1,32,48,47,1
71,0,70,49,55,1
72,1,47,49,42,1
73,1,60,50,49,1
74,1,60,50,56,1
75,0,59,54,47,1
76,0,26,54,54,1
77,1,45,54,53,1
78,0,40,54,48,1
79,1,23,54,52,1
80,1,49,54,42,1
81,0,57,54,51,1
82,0,38,54,55,1
83,0,67,54,41,1
84,1,46,54,44,1
85,1,21,54,57,1
86,0,48,54,46,1
87,1,55,57,58,1
88,1,22,57,55,1
89,1,34,58,60,1
90,1,50,58,46,1
91,1,68,59,55,1
92,0,18,59,41,1
93,0,48,60,49,1
94,1,40,60,40,1
95,1,32,60,42,1
96,0,24,60,52,1
97,1,47,60,47,1
98,1,27,60,50,1
99,0,48,61,42,1
100,0,20,61,49,1
101,1,23,62,41,1
102,1,49,62,48,1
103,0,67,62,59,1
104,0,26,62,55,1
105,0,49,62,56,1
106,1,21,62,42,1
107,1,66,63,50,1
108,0,54,63,46,1
109,0,68,63,43,1
110,0,66,63,48,1
111,0,65,63,52,1
112,1,19,63,54,1
113,1,38,64,42,1
114,0,19,64,46,1
115,1,18,65,48,1
116,1,19,65,50,1
117,1,63,65,43,1
118,1,49,65,59,1
119,1,51,67,43,1
120,1,50,67,57,1
121,0,27,67,56,1
122,1,38,67,40,1
123,1,40,69,58,1
124,0,39,69,91,2
125,1,23,70,29,3
126,1,31,70,77,2
127,0,43,71,35,1
128,0,40,71,95,2
129,0,59,71,11,3
130,0,38,71,75,2
131,0,47,71,9,3
132,0,39,71,75,2
133,1,25,72,34,3
134,1,31,72,71,2
135,0,20,73,5,3
136,1,29,73,88,2
137,1,44,73,7,3
138,0,32,73,73,2
139,0,19,74,10,3
140,1,35,74,72,2
141,1,57,75,5,3
142,0,32,75,93,2
143,1,28,76,40,1
144,1,32,76,87,2
145,0,25,77,12,3
146,0,28,77,97,2
147,0,48,77,36,3
148,1,32,77,74,2
149,1,34,78,22,3
150,0,34,78,90,2
151,0,43,78,17,3
152,0,39,78,88,2
153,1,44,78,20,3
154,1,38,78,76,2
155,1,47,78,16,3
156,1,27,78,89,2
157,0,37,78,1,3
158,1,30,78,78,2
159,0,34,78,1,3
160,1,30,78,73,2
161,1,56,79,35,3
162,1,29,79,83,2
163,0,19,81,5,3
164,1,31,81,93,2
165,0,50,85,26,3
166,1,36,85,75,2
167,0,42,86,20,3
168,1,33,86,95,2
169,1,36,87,27,3
170,0,32,87,63,2
171,0,40,87,13,3
172,0,28,87,75,2
173,0,36,87,10,3
174,0,36,87,92,2
175,1,52,88,13,3
176,1,30,88,86,2
177,0,58,88,15,3
178,0,27,88,69,2
179,0,59,93,14,3
180,0,35,93,90,2
181,1,37,97,32,3
182,1,32,97,86,2
183,0,46,98,15,3
184,1,29,98,88,2
185,1,41,99,39,3
186,0,30,99,97,2
187,1,54,101,24,3
188,0,28,101,68,2
189,1,41,103,17,3
190,1,36,103,85,2
191,1,34,103,23,3
192,1,32,103,69,2
193,0,33,113,8,3
194,1,38,113,91,2
195,1,47,120,16,3
196,1,35,120,79,2
197,1,45,126,28,3
198,0,32,126,74,2
199,0,32,137,18,3
200,0,30,137,83,2
